#   r_nom       meanr       meanlogr       xip          xim         xip_pm       xim_im     sigma_xip      npairs       weight    npairs_weighted
  1.3192e+00   1.3194e+00   2.7713e-01  -8.2061e-05   4.1042e-05   2.4622e-21   2.6985e-04   1.9566e-04   8.4581e+05   1.8792e+08   9.5786e+05
  1.3477e+00   1.3478e+00   2.9845e-01   5.8655e-05  -8.2272e-05  -2.3848e-20  -1.6159e-04   1.9177e-04   8.8087e+05   1.9562e+08   9.9729e+05
  1.3767e+00   1.3768e+00   3.1976e-01   6.0285e-05   2.7452e-04   1.6876e-20  -1.8727e-05   1.8782e-04   9.1721e+05   2.0392e+08   1.0396e+06
  1.4064e+00   1.4066e+00   3.4111e-01   2.2008e-04   2.1310e-06   3.7304e-20  -5.2920e-05   1.8422e-04   9.5416e+05   2.1198e+08   1.0809e+06
  1.4367e+00   1.4368e+00   3.6243e-01  -7.8335e-05  -3.9076e-05  -3.0678e-20  -1.1554e-04   1.8046e-04   9.9450e+05   2.2091e+08   1.1260e+06
  1.4677e+00   1.4678e+00   3.8373e-01   3.4064e-05  -1.0928e-04  -7.1700e-22  -7.6463e-05   1.7674e-04   1.0357e+06   2.3028e+08   1.1737e+06
  1.4993e+00   1.4994e+00   4.0506e-01  -2.0006e-04  -2.2243e-05  -3.7972e-20  -7.4148e-05   1.7340e-04   1.0781e+06   2.3927e+08   1.2198e+06
  1.5316e+00   1.5317e+00   4.2638e-01  -1.8721e-04  -9.1512e-05   4.8492e-20   1.6898e-04   1.6995e-04   1.1213e+06   2.4909e+08   1.2701e+06
  1.5646e+00   1.5648e+00   4.4771e-01   2.8844e-04  -1.2234e-04  -2.0929e-20  -2.2572e-05   1.6657e-04   1.1675e+06   2.5931e+08   1.3223e+06
  1.5983e+00   1.5985e+00   4.6903e-01  -1.4642e-04  -7.7627e-06  -9.1981e-21  -1.6203e-04   1.6349e-04   1.2132e+06   2.6913e+08   1.3728e+06
  1.6328e+00   1.6329e+00   4.9034e-01   1.1914e-05  -3.8849e-05  -2.1450e-20   1.2090e-04   1.6036e-04   1.2611e+06   2.7975e+08   1.4268e+06
  1.6680e+00   1.6681e+00   5.1167e-01   1.7833e-04  -1.9166e-04  -3.4519e-20  -9.4232e-05   1.5692e-04   1.3162e+06   2.9215e+08   1.4900e+06
  1.7039e+00   1.7041e+00   5.3298e-01  -5.6411e-05   1.5210e-04  -2.0182e-20   2.0112e-05   1.5409e-04   1.3660e+06   3.0301e+08   1.5460e+06
  1.7406e+00   1.7408e+00   5.5433e-01  -4.1859e-05  -2.3199e-05  -5.3731e-20   8.8294e-05   1.5111e-04   1.4203e+06   3.1505e+08   1.6074e+06
  1.7782e+00   1.7783e+00   5.7565e-01   2.6976e-04   7.5189e-05  -1.4995e-20   4.9847e-05   1.4793e-04   1.4815e+06   3.2876e+08   1.6770e+06
  1.8165e+00   1.8166e+00   5.9697e-01  -7.4035e-05   1.6457e-04  -1.4785e-20   3.4641e-05   1.4499e-04   1.5432e+06   3.4220e+08   1.7463e+06
