# R.A., Dec., mask
331.225 -32.650 0
331.225 -32.550 1
331.225 -32.450 1
331.225 -32.350 1
331.225 -32.250 1
331.225 -32.150 1
331.225 -32.050 1
331.225 -31.950 1
331.225 -31.850 1
331.225 -31.750 1
331.225 -31.650 1
331.225 -31.550 1
331.225 -31.450 1
331.225 -31.350 1
331.225 -31.250 1
331.225 -31.150 1
331.225 -31.050 1
331.225 -30.950 1
331.225 -30.850 1
331.225 -30.750 1
331.225 -30.650 1
331.225 -30.550 1
331.225 -30.450 1
331.225 -30.350 1
331.225 -30.250 1
331.225 -30.150 1
331.225 -30.050 1
331.225 -29.950 1
331.225 -29.850 1
331.225 -29.750 1
331.225 -29.650 1
331.225 -29.550 1
331.225 -29.450 1
331.225 -29.350 1
331.225 -29.250 1
331.225 -29.150 1
331.225 -29.050 1
331.225 -28.950 1
331.225 -28.850 1
331.225 -28.750 1
331.225 -28.650 1
331.225 -28.550 1
331.225 -28.450 1
331.225 -28.350 1
331.225 -28.250 1
331.225 -28.150 1
331.225 -28.050 1
331.225 -27.950 1
331.225 -27.850 1
331.225 -27.750 1
331.225 -27.650 1
331.225 -27.550 1
331.225 -27.450 1
331.225 -27.350 1
331.225 -27.250 1
331.225 -27.150 1
331.225 -27.050 1
331.225 -26.950 1
331.225 -26.850 1
331.225 -26.750 1
331.225 -26.650 1
331.225 -26.550 1
331.225 -26.450 1
331.225 -26.350 0
331.225 -26.250 0
331.225 -26.150 0
331.225 -26.050 0
331.342 -35.950 0
331.342 -35.850 0
331.342 -35.750 0
331.342 -35.650 1
331.342 -35.550 1
331.342 -35.450 1
331.342 -35.350 1
331.342 -35.250 1
331.342 -35.150 1
331.342 -35.050 1
331.342 -34.950 1
331.342 -34.850 1
331.342 -34.750 1
331.342 -34.650 1
331.342 -34.550 1
331.342 -34.450 1
331.342 -34.350 1
331.342 -34.250 1
331.342 -34.150 1
331.342 -34.050 1
331.342 -33.950 0
331.342 -33.850 0
331.342 -33.750 0
331.342 -33.650 0
331.342 -33.550 0
331.342 -33.450 0
331.342 -33.350 0
331.342 -33.250 0
331.342 -33.150 0
331.342 -33.050 0
331.342 -32.950 0
331.342 -32.850 0
331.342 -32.750 0
331.342 -32.650 0
331.342 -32.550 0
331.342 -32.450 1
331.342 -32.350 1
331.342 -32.250 1
331.342 -32.150 1
331.342 -32.050 1
331.342 -31.950 1
331.342 -31.850 1
331.342 -31.750 1
331.342 -31.650 1
331.342 -31.550 1
331.342 -31.450 1
331.342 -31.350 1
331.342 -31.250 1
331.342 -31.150 1
331.342 -31.050 1
331.342 -30.950 1
331.342 -30.850 1
331.342 -30.750 1
331.342 -30.650 1
331.342 -30.550 1
331.342 -30.450 1
331.342 -30.350 1
331.342 -30.250 1
331.342 -30.150 1
331.342 -30.050 1
331.342 -29.950 1
331.342 -29.850 1
331.342 -29.750 1
331.342 -29.650 1
331.342 -29.550 1
331.342 -29.450 1
331.342 -29.350 1
331.342 -29.250 1
331.342 -29.150 1
331.342 -29.050 1
331.342 -28.950 1
331.342 -28.850 1
331.342 -28.750 1
331.342 -28.650 1
331.342 -28.550 1
331.342 -28.450 1
331.342 -28.350 1
331.342 -28.250 1
331.342 -28.150 1
331.342 -28.050 1
331.342 -27.950 1
331.342 -27.850 1
331.342 -27.750 1
331.342 -27.650 1
331.342 -27.550 1
331.342 -27.450 1
331.342 -27.350 1
331.342 -27.250 1
331.342 -27.150 1
331.342 -27.050 1
331.342 -26.950 1
331.342 -26.850 1
331.342 -26.750 1
331.342 -26.650 1
331.342 -26.550 1
331.342 -26.450 1
331.342 -26.350 0
331.342 -26.250 0
331.342 -26.150 0
331.342 -26.050 0
331.459 -35.950 0
331.459 -35.850 0
331.459 -35.750 0
331.459 -35.650 0
331.459 -35.550 1
331.459 -35.450 1
331.459 -35.350 1
331.459 -35.250 1
331.459 -35.150 1
331.459 -35.050 1
331.459 -34.950 1
331.459 -34.850 1
331.459 -34.750 1
331.459 -34.650 1
331.459 -34.550 1
331.459 -34.450 1
331.459 -34.350 1
331.459 -34.250 1
331.459 -34.150 1
331.459 -34.050 0
331.459 -33.950 0
331.459 -33.850 0
331.459 -33.750 0
331.459 -33.650 0
331.459 -33.550 0
331.459 -33.450 0
331.459 -33.350 0
